PassengerId,Pclass,Ticket,Fare,Cabin,Embarked,Survived
299,1,19988,30.5,C106,S,1
300,1,PC 17558,247.5208,B58 B60,C,1
301,3,9234,7.75,,Q,1
302,3,367226,23.25,,Q,1
303,3,LINE,0,,S,0
304,2,226593,12.35,E101,Q,1
305,3,A/5 2466,8.05,,S,0
306,1,113781,151.55,C22 C26,S,1
307,1,17421,110.8833,,C,1
308,1,PC 17758,108.9,C65,C,1
309,2,P/PP 3381,24,,C,0
310,1,PC 17485,56.9292,E36,C,1
311,1,11767,83.1583,C54,C,1
312,1,PC 17608,262.375,B57 B59 B63 B66,C,1
313,2,250651,26,,S,0
314,3,349243,7.8958,,S,0
315,2,F.C.C. 13529,26.25,,S,0
316,3,347470,7.8542,,S,1
317,2,244367,26,,S,1
318,2,29011,14,,S,0
319,1,36928,164.8667,C7,S,1
320,1,16966,134.5,E34,C,1
321,3,A/5 21172,7.25,,S,0
322,3,349219,7.8958,,S,0
323,2,234818,12.35,,Q,1
324,2,248738,29,,S,1
325,3,CA. 2343,69.55,,S,0
326,1,PC 17760,135.6333,C32,C,1
327,3,345364,6.2375,,S,0
328,2,28551,13,D,S,1
329,3,363291,20.525,,S,1
330,1,111361,57.9792,B18,C,1
331,3,367226,23.25,,Q,1
332,1,113043,28.5,C124,S,0
333,1,PC 17582,153.4625,C91,S,0
334,3,345764,18,,S,0
335,1,PC 17611,133.65,,S,1
336,3,349225,7.8958,,S,0
337,1,113776,66.6,C2,S,0
338,1,16966,134.5,E40,C,1
339,3,7598,8.05,,S,1
340,1,113784,35.5,T,S,0
341,2,230080,26,F2,S,1
342,1,19950,263,C23 C25 C27,S,1
343,2,248740,13,,S,0
344,2,244361,13,,S,0
345,2,229236,13,,S,0
346,2,248733,13,F33,S,1
347,2,31418,13,,S,1
348,3,386525,16.1,,S,1
349,3,C.A. 37671,15.9,,S,1
350,3,315088,8.6625,,S,0
351,3,7267,9.225,,S,0
352,1,113510,35,C128,S,0
353,3,2695,7.2292,,C,0
354,3,349237,17.8,,S,0
355,3,2647,7.225,,C,0
356,3,345783,9.5,,S,0
357,1,113505,55,E33,S,1
358,2,237671,13,,S,0
359,3,330931,7.8792,,Q,1
360,3,330980,7.8792,,Q,1
361,3,347088,27.9,,S,0
362,2,SC/PARIS 2167,27.7208,,C,0
363,3,2691,14.4542,,C,0
364,3,SOTON/O.Q. 3101310,7.05,,S,0
365,3,370365,15.5,,Q,0
366,3,C 7076,7.25,,S,0
367,1,110813,75.25,D37,C,1
368,3,2626,7.2292,,C,1
369,3,14313,7.75,,Q,1
370,1,PC 17477,69.3,B35,C,1
371,1,11765,55.4417,E50,C,1
372,3,3101267,6.4958,,S,0
373,3,323951,8.05,,S,0
374,1,PC 17760,135.6333,,C,0
375,3,349909,21.075,,S,0
376,1,PC 17604,82.1708,,C,1
377,3,C 7077,7.25,,S,1
378,1,113503,211.5,C82,C,0
379,3,2648,4.0125,,C,0
380,3,347069,7.775,,S,0
381,1,PC 17757,227.525,,C,1
382,3,2653,15.7417,,C,1
383,3,STON/O 2. 3101293,7.925,,S,0
384,1,113789,52,,S,1
385,3,349227,7.8958,,S,0
386,2,S.O.C. 14879,73.5,,S,0
387,3,CA 2144,46.9,,S,0
388,2,27849,13,,S,1
389,3,367655,7.7292,,Q,0
390,2,SC 1748,12,,C,1
391,1,113760,120,B96 B98,S,1
392,3,350034,7.7958,,S,1
393,3,3101277,7.925,,S,0
394,1,35273,113.275,D36,C,1
395,3,PP 9549,16.7,G6,S,1
396,3,350052,7.7958,,S,0
397,3,350407,7.8542,,S,0
398,2,28403,26,,S,0
399,2,244278,10.5,,S,0
400,2,240929,12.65,,S,1
401,3,STON/O 2. 3101289,7.925,,S,1
402,3,341826,8.05,,S,0
403,3,4137,9.825,,S,0
404,3,STON/O2. 3101279,15.85,,S,0
405,3,315096,8.6625,,S,0
406,2,28664,21,,S,0
407,3,347064,7.75,,S,0
408,2,29106,18.75,,S,1
409,3,312992,7.775,,S,0
410,3,4133,25.4667,,S,0
411,3,349222,7.8958,,S,0
412,3,394140,6.8583,,Q,0
413,1,19928,90,C78,Q,1
414,2,239853,0,,S,0
415,3,STON/O 2. 3101269,7.925,,S,1
416,3,343095,8.05,,S,0
417,2,28220,32.5,,S,1
418,2,250652,13,,S,1
419,2,28228,13,,S,0
420,3,345773,24.15,,S,0
421,3,349254,7.8958,,C,0
422,3,A/5. 13032,7.7333,,Q,0
423,3,315082,7.875,,S,0
424,3,347080,14.4,,S,0
425,3,370129,20.2125,,S,0
426,3,A/4. 34244,7.25,,S,0
427,2,2003,26,,S,1
428,2,250655,26,,S,1
429,3,364851,7.75,,Q,0
430,3,SOTON/O.Q. 392078,8.05,E10,S,1
431,1,110564,26.55,C52,S,1
432,3,376564,16.1,,S,1
433,2,SC/AH 3085,26,,S,1
434,3,STON/O 2. 3101274,7.125,,S,0
435,1,13507,55.9,E44,S,0
436,1,113760,120,B96 B98,S,1
437,3,W./C. 6608,34.375,,S,0
438,2,29106,18.75,,S,1
439,1,19950,263,C23 C25 C27,S,0
440,2,C.A. 18723,10.5,,S,0
441,2,F.C.C. 13529,26.25,,S,1
442,3,345769,9.5,,S,0
443,3,347076,7.775,,S,0
444,2,230434,13,,S,1
445,3,65306,8.1125,,S,1
446,1,33638,81.8583,A34,S,1
447,2,250644,19.5,,S,1
448,1,113794,26.55,,S,1
449,3,2666,19.2583,,C,1
450,1,113786,30.5,C104,S,1
451,2,C.A. 34651,27.75,,S,0
452,3,65303,19.9667,,S,0
453,1,113051,27.75,C111,C,0
454,1,17453,89.1042,C92,C,1
455,3,A/5 2817,8.05,,S,0
456,3,349240,7.8958,,C,1
457,1,13509,26.55,E38,S,0
458,1,17464,51.8625,D21,S,1
459,2,F.C.C. 13531,10.5,,S,1
460,3,371060,7.75,,Q,0
461,1,19952,26.55,E12,S,1
462,3,364506,8.05,,S,0
463,1,111320,38.5,E63,S,0
464,2,234360,13,,S,0
465,3,A/S 2816,8.05,,S,0
466,3,SOTON/O.Q. 3101306,7.05,,S,0
467,2,239853,0,,S,0
468,1,113792,26.55,,S,0
469,3,36209,7.725,,Q,0
470,3,2666,19.2583,,C,1
471,3,323592,7.25,,S,0
472,3,315089,8.6625,,S,0
473,2,C.A. 34651,27.75,,S,1
474,2,SC/AH Basle 541,13.7917,D,C,1
475,3,7553,9.8375,,S,0
476,1,110465,52,A14,S,0
477,2,31027,21,,S,0
478,3,3460,7.0458,,S,0
479,3,350060,7.5208,,S,0
480,3,3101298,12.2875,,S,1
481,3,CA 2144,46.9,,S,0
482,2,239854,0,,S,0
483,3,A/5 3594,8.05,,S,0
484,3,4134,9.5875,,S,1
485,1,11967,91.0792,B49,C,1
486,3,4133,25.4667,,S,0
487,1,19943,90,C93,S,1
488,1,11771,29.7,B37,C,0
489,3,A.5. 18509,8.05,,S,0
490,3,C.A. 37671,15.9,,S,1
491,3,65304,19.9667,,S,0
492,3,SOTON/OQ 3101317,7.25,,S,0
493,1,113787,30.5,C30,S,0
494,1,PC 17609,49.5042,,C,0
495,3,A/4 45380,8.05,,S,0
496,3,2627,14.4583,,C,0
497,1,36947,78.2667,D20,C,1
498,3,C.A. 6212,15.1,,S,0
499,1,113781,151.55,C22 C26,S,0
500,3,350035,7.7958,,S,0
501,3,315086,8.6625,,S,0
502,3,364846,7.75,,Q,0
503,3,330909,7.6292,,Q,0
504,3,4135,9.5875,,S,0
505,1,110152,86.5,B79,S,1
506,1,PC 17758,108.9,C65,C,0
507,2,26360,26,,S,1
508,1,111427,26.55,,S,1
509,3,C 4001,22.525,,S,0
510,3,1601,56.4958,,S,1
511,3,382651,7.75,,Q,1
512,3,SOTON/OQ 3101316,8.05,,S,0
513,1,PC 17473,26.2875,E25,S,1
514,1,PC 17603,59.4,,C,1
515,3,349209,7.4958,,S,0
516,1,36967,34.0208,D46,S,0
517,2,C.A. 34260,10.5,F33,S,1
518,3,371110,24.15,,Q,0
519,2,226875,26,,S,1
520,3,349242,7.8958,,S,0
521,1,12749,93.5,B73,S,1
522,3,349252,7.8958,,S,0
523,3,2624,7.225,,C,0
524,1,111361,57.9792,B18,C,1
525,3,2700,7.2292,,C,0
526,3,367232,7.75,,Q,0
527,2,W./C. 14258,10.5,,S,1
528,1,PC 17483,221.7792,C95,S,0
529,3,3101296,7.925,,S,0
530,2,29104,11.5,,S,0
531,2,26360,26,,S,1
532,3,2641,7.2292,,C,0
533,3,2690,7.2292,,C,0
534,3,2668,22.3583,,C,1
535,3,315084,8.6625,,S,0
536,2,F.C.C. 13529,26.25,,S,1
537,1,113050,26.55,B38,S,0
538,1,PC 17761,106.425,,C,1
539,3,364498,14.5,,S,0
540,1,13568,49.5,B39,C,1
541,1,WE/P 5735,71,B22,S,1
542,3,347082,31.275,,S,0
543,3,347082,31.275,,S,0
544,2,2908,26,,S,1
545,1,PC 17761,106.425,C86,C,0
546,1,693,26,,S,0
547,2,2908,26,,S,1
548,2,SC/PARIS 2146,13.8625,,C,1
549,3,363291,20.525,,S,0
550,2,C.A. 33112,36.75,,S,1
551,1,17421,110.8833,C70,C,1
552,2,244358,26,,S,0
553,3,330979,7.8292,,Q,0
554,3,2620,7.225,,C,1
555,3,347085,7.775,,S,1
556,1,113807,26.55,,S,0
557,1,11755,39.6,A16,C,1
558,1,PC 17757,227.525,,C,0
559,1,110413,79.65,E67,S,1
560,3,345572,17.4,,S,1
561,3,372622,7.75,,Q,0
562,3,349251,7.8958,,S,0
563,2,218629,13.5,,S,0
564,3,SOTON/OQ 392082,8.05,,S,0
565,3,SOTON/O.Q. 392087,8.05,,S,0
566,3,A/4 48871,24.15,,S,0
567,3,349205,7.8958,,S,0
568,3,349909,21.075,,S,0
569,3,2686,7.2292,,C,0
570,3,350417,7.8542,,S,1
571,2,S.W./PP 752,10.5,,S,1
572,1,11769,51.4792,C101,S,1
573,1,PC 17474,26.3875,E25,S,1
574,3,14312,7.75,,Q,1
575,3,A/4. 20589,8.05,,S,0
576,3,358585,14.5,,S,0
577,2,243880,13,,S,1
578,1,13507,55.9,E44,S,1
579,3,2689,14.4583,,C,0
580,3,STON/O 2. 3101286,7.925,,S,1
581,2,237789,30,,S,1
582,1,17421,110.8833,C68,C,1
583,2,28403,26,,S,0
584,1,13049,40.125,A10,C,0
585,3,3411,8.7125,,C,0
586,1,110413,79.65,E68,S,1
587,2,237565,15,,S,0
588,1,13567,79.2,B41,C,1
589,3,14973,8.05,,S,0
590,3,A./5. 3235,8.05,,S,0
591,3,STON/O 2. 3101273,7.125,,S,0
592,1,36947,78.2667,D20,C,1
593,3,A/5 3902,7.25,,S,0
594,3,364848,7.75,,Q,0
595,2,SC/AH 29037,26,,S,0
596,3,345773,24.15,,S,0
597,2,248727,33,,S,1
598,3,LINE,0,,S,0
599,3,2664,7.225,,C,0
600,1,PC 17485,56.9292,A20,C,1
601,2,243847,27,,S,1
602,3,349214,7.8958,,S,0
603,1,113796,42.4,,S,0
604,3,364511,8.05,,S,0
605,1,111426,26.55,,C,1
606,3,349910,15.55,,S,0
607,3,349246,7.8958,,S,0
608,1,113804,30.5,,S,1
609,2,SC/Paris 2123,41.5792,,C,1
610,1,PC 17582,153.4625,C125,S,1
611,3,347082,31.275,,S,0
612,3,SOTON/O.Q. 3101305,7.05,,S,0
613,3,367230,15.5,,Q,1
614,3,370377,7.75,,Q,0
615,3,364512,8.05,,S,0
616,2,220845,65,,S,1
617,3,347080,14.4,,S,0
618,3,A/5. 3336,16.1,,S,0
619,2,230136,39,F4,S,1
620,2,31028,10.5,,S,0
621,3,2659,14.4542,,C,0
622,1,11753,52.5542,D19,S,1
623,3,2653,15.7417,,C,1
624,3,350029,7.8542,,S,0
625,3,54636,16.1,,S,0
626,1,36963,32.3208,D50,S,0
627,2,219533,12.35,,Q,0
628,1,13502,77.9583,D9,S,1
629,3,349224,7.8958,,S,0
630,3,334912,7.7333,,Q,0
631,1,27042,30,A23,S,1
632,3,347743,7.0542,,S,0
633,1,13214,30.5,B50,C,1
634,1,112052,0,,S,0
635,3,347088,27.9,,S,0
636,2,237668,13,,S,1
637,3,STON/O 2. 3101292,7.925,,S,0
638,2,C.A. 31921,26.25,,S,0
639,3,3101295,39.6875,,S,0
640,3,376564,16.1,,S,0
641,3,350050,7.8542,,S,0
642,1,PC 17477,69.3,B35,C,1
643,3,347088,27.9,,S,0
644,3,1601,56.4958,,S,1
645,3,2666,19.2583,,C,1
646,1,PC 17572,76.7292,D33,C,1
647,3,349231,7.8958,,S,0
648,1,13213,35.5,A26,C,1
649,3,S.O./P.P. 751,7.55,,S,0
650,3,CA. 2314,7.55,,S,1
651,3,349221,7.8958,,S,0
652,2,231919,23,,S,1
653,3,8475,8.4333,,S,0
654,3,330919,7.8292,,Q,1
655,3,365226,6.75,,Q,0
656,2,S.O.C. 14879,73.5,,S,0
657,3,349223,7.8958,,S,0
658,3,364849,15.5,,Q,0
659,2,29751,13,,S,0
660,1,35273,113.275,D48,C,0
661,1,PC 17611,133.65,,S,1
662,3,2623,7.225,,C,0
663,1,5727,25.5875,E58,S,0
664,3,349210,7.4958,,S,0
665,3,STON/O 2. 3101285,7.925,,S,1
666,2,S.O.C. 14879,73.5,,S,0
667,2,234686,13,,S,0
668,3,312993,7.775,,S,0
669,3,A/5 3536,8.05,,S,0
670,1,19996,52,C126,S,1
671,2,29750,39,,S,1
672,1,F.C. 12750,52,B71,S,0
673,2,C.A. 24580,10.5,,S,0
674,2,244270,13,,S,1
675,2,239856,0,,S,0
676,3,349912,7.775,,S,0
677,3,342826,8.05,,S,0
678,3,4138,9.8417,,S,1
679,3,CA 2144,46.9,,S,0
680,1,PC 17755,512.3292,B51 B53 B55,C,1
681,3,330935,8.1375,,Q,0
682,1,PC 17572,76.7292,D49,C,1
683,3,6563,9.225,,S,0
684,3,CA 2144,46.9,,S,0
685,2,29750,39,,S,0
686,2,SC/Paris 2123,41.5792,,C,0
687,3,3101295,39.6875,,S,0
688,3,349228,10.1708,,S,0
689,3,350036,7.7958,,S,0
690,1,24160,211.3375,B5,S,1
691,1,17474,57,B20,S,1
692,3,349256,13.4167,,C,1
693,3,1601,56.4958,,S,1
694,3,2672,7.225,,C,0
695,1,113800,26.55,,S,0
696,2,248731,13.5,,S,0
697,3,363592,8.05,,S,0
698,3,35852,7.7333,,Q,1
699,1,17421,110.8833,C68,C,0
700,3,348121,7.65,F G63,S,0
701,1,PC 17757,227.525,C62 C64,C,1
702,1,PC 17475,26.2875,E24,S,1
703,3,2691,14.4542,,C,0
704,3,36864,7.7417,,Q,0
705,3,350025,7.8542,,S,0
706,2,250655,26,,S,0
707,2,223596,13.5,,S,1
708,1,PC 17476,26.2875,E24,S,1
709,1,113781,151.55,,S,1
710,3,2661,15.2458,,C,1
711,1,PC 17482,49.5042,C90,C,1
712,1,113028,26.55,C124,S,0
713,1,19996,52,C126,S,1
714,3,7545,9.4833,,S,0
715,2,250647,13,,S,0
716,3,348124,7.65,F G73,S,0
717,1,PC 17757,227.525,C45,C,1
718,2,34218,10.5,E101,S,1
719,3,36568,15.5,,Q,0
720,3,347062,7.775,,S,0
721,2,248727,33,,S,1
722,3,350048,7.0542,,S,0
723,2,12233,13,,S,0
724,2,250643,13,,S,0
725,1,113806,53.1,E8,S,1
726,3,315094,8.6625,,S,0
727,2,31027,21,,S,1
728,3,36866,7.7375,,Q,1
729,2,236853,26,,S,0
730,3,STON/O2. 3101271,7.925,,S,0
731,1,24160,211.3375,B5,S,1
732,3,2699,18.7875,,C,0
733,2,239855,0,,S,0
734,2,28425,13,,S,0
735,2,233639,13,,S,0
736,3,54636,16.1,,S,0
737,3,W./C. 6608,34.375,,S,0
738,1,PC 17755,512.3292,B101,C,1
739,3,349201,7.8958,,S,0
740,3,349218,7.8958,,S,0
741,1,16988,30,D45,S,1
742,1,19877,78.85,C46,S,0
743,1,PC 17608,262.375,B57 B59 B63 B66,C,1
744,3,376566,16.1,,S,0
745,3,STON/O 2. 3101288,7.925,,S,1
746,1,WE/P 5735,71,B22,S,0
747,3,C.A. 2673,20.25,,S,0
748,2,250648,13,,S,1
749,1,113773,53.1,D30,S,0
750,3,335097,7.75,,Q,0
751,2,29103,23,,S,1
752,3,392096,12.475,E121,S,1
753,3,345780,9.5,,S,0
754,3,349204,7.8958,,S,0
755,2,220845,65,,S,1
756,2,250649,14.5,,S,1
757,3,350042,7.7958,,S,0
758,2,29108,11.5,,S,0
759,3,363294,8.05,,S,0
760,1,110152,86.5,B77,S,1
761,3,358585,14.5,,S,0
762,3,SOTON/O2 3101272,7.125,,S,0
763,3,2663,7.2292,,C,1
764,1,113760,120,B96 B98,S,1
765,3,347074,7.775,,S,0
766,1,13502,77.9583,D11,S,1
767,1,112379,39.6,,C,0
768,3,364850,7.75,,Q,0
769,3,371110,24.15,,Q,0
770,3,8471,8.3625,,S,0
771,3,345781,9.5,,S,0
772,3,350047,7.8542,,S,0
773,2,S.O./P.P. 3,10.5,E77,S,0
774,3,2674,7.225,,C,0
